 ,Label,Area,Min,Max,X,Y,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,TESTxk,0.000,110.787,110.787,1.749,16.843,1.639,16.765,0.126,0.126,0.000,0.000,0.000,NaN
2,TESTxk,0.000,56.549,56.549,1.922,16.765,1.891,16.765,0.126,0.126,0.000,0.000,0.000,NaN
3,TESTxk,0.000,55.002,55.002,2.033,16.654,2.017,16.639,0.126,0.126,0.000,0.000,0.000,NaN
4,TESTxk,0.000,73.639,73.639,2.222,16.576,2.143,16.513,0.126,0.126,0.000,0.000,0.000,NaN
5,TESTxk,0.000,93.539,93.539,2.363,16.418,2.269,16.387,0.126,0.126,0.000,0.000,0.000,NaN
6,TESTxk,0.000,107.296,107.296,2.489,16.308,2.395,16.261,0.126,0.126,0.000,0.000,0.000,NaN
7,TESTxk,0.000,86.134,86.134,2.584,16.182,2.521,16.134,0.126,0.126,0.000,0.000,0.000,NaN
8,TESTxk,0.000,81.127,81.127,2.584,15.993,2.521,15.882,0.126,0.126,0.000,0.000,0.000,NaN
9,TESTxk,0.000,83.738,83.738,2.442,15.804,2.395,15.756,0.126,0.126,0.000,0.000,0.000,NaN
10,TESTxk,0.000,65.076,65.076,2.237,15.756,2.143,15.756,0.126,0.126,0.000,0.000,0.000,NaN
11,TESTxk,0.000,56.572,56.572,2.017,15.788,2.017,15.756,0.126,0.126,0.000,0.000,0.000,NaN
12,TESTxk,0.000,60.352,60.352,1.922,15.693,1.891,15.630,0.126,0.126,0.000,0.000,0.000,NaN
13,TESTxk,0.000,70.319,70.319,1.717,15.630,1.639,15.630,0.126,0.126,0.000,0.000,0.000,NaN
14,TESTxk,0.000,78.833,78.833,1.576,15.536,1.513,15.504,0.126,0.126,0.000,0.000,0.000,NaN
15,TESTxk,0.000,112.074,112.074,1.450,15.331,1.387,15.252,0.126,0.126,0.000,0.000,0.000,NaN
16,TESTxk,0.000,130.706,130.706,1.465,15.142,1.387,15.126,0.126,0.126,0.000,0.000,0.000,NaN
17,TESTxk,0.000,128.479,128.479,1.560,15.063,1.513,15.000,0.126,0.126,0.000,0.000,0.000,NaN
18,TESTxk,0.000,135.542,135.542,1.623,14.905,1.513,14.874,0.126,0.126,0.000,0.000,0.000,NaN
19,TESTxk,0.000,101.028,101.028,1.922,14.842,1.891,14.748,0.126,0.126,0.000,0.000,0.000,NaN
20,TESTxk,0.000,52.870,52.870,2.159,14.764,2.143,14.748,0.126,0.126,0.000,0.000,0.000,NaN
21,TESTxk,0.000,65.521,65.521,2.206,14.512,2.143,14.496,0.126,0.126,0.000,0.000,0.000,NaN
22,TESTxk,0.000,72.831,72.831,2.111,14.322,2.017,14.244,0.126,0.126,0.000,0.000,0.000,NaN
23,TESTxk,0.000,72.831,72.831,2.111,14.322,2.017,14.244,0.126,0.126,0.000,0.000,0.000,NaN
24,TESTxk,0.000,71.183,71.183,1.891,14.275,1.891,14.244,0.126,0.126,0.000,0.000,0.000,NaN
25,TESTxk,0.000,64.141,64.141,1.780,14.275,1.765,14.244,0.126,0.126,0.000,0.000,0.000,NaN
26,TESTxk,0.000,67.391,67.391,1.639,14.212,1.639,14.118,0.126,0.126,0.000,0.000,0.000,NaN
27,TESTxk,0.000,96.361,96.361,1.465,14.039,1.387,13.992,0.126,0.126,0.000,0.000,0.000,NaN
28,TESTxk,0.000,124.685,124.685,1.513,13.834,1.513,13.739,0.126,0.126,0.000,0.000,0.000,NaN
29,TESTxk,0.000,124.685,124.685,1.513,13.834,1.513,13.739,0.126,0.126,0.000,0.000,0.000,NaN
30,TESTxk,0.000,127.544,127.544,1.591,13.661,1.513,13.613,0.126,0.126,0.000,0.000,0.000,NaN
31,TESTxk,0.000,103.083,103.083,1.812,13.519,1.765,13.487,0.126,0.126,0.000,0.000,0.000,NaN
32,TESTxk,0.000,73.023,73.023,2.048,13.519,2.017,13.487,0.126,0.126,0.000,0.000,0.000,NaN
33,TESTxk,0.000,73.023,73.023,2.048,13.519,2.017,13.487,0.126,0.126,0.000,0.000,0.000,NaN
34,TESTxk,0.000,71.454,71.454,2.253,13.393,2.143,13.361,0.126,0.126,0.000,0.000,0.000,NaN
35,TESTxk,0.000,75.532,75.532,2.253,13.251,2.143,13.235,0.126,0.126,0.000,0.000,0.000,NaN
36,TESTxk,0.000,65.868,65.868,2.190,13.062,2.143,12.983,0.126,0.126,0.000,0.000,0.000,NaN
37,TESTxk,0.000,63.155,63.155,2.001,12.967,1.891,12.857,0.126,0.126,0.000,0.000,0.000,NaN
38,TESTxk,0.000,70.062,70.062,1.780,12.826,1.765,12.731,0.126,0.126,0.000,0.000,0.000,NaN
39,TESTxk,0.000,67.160,67.160,1.639,12.794,1.639,12.731,0.126,0.126,0.000,0.000,0.000,NaN
40,TESTxk,0.000,86.053,86.053,1.528,12.637,1.513,12.605,0.126,0.126,0.000,0.000,0.000,NaN
41,TESTxk,0.000,115.868,115.868,1.481,12.384,1.387,12.353,0.126,0.126,0.000,0.000,0.000,NaN
42,TESTxk,0.000,125.898,125.898,1.591,12.211,1.513,12.101,0.126,0.126,0.000,0.000,0.000,NaN
43,TESTxk,0.000,73.780,73.780,1.875,12.148,1.765,12.101,0.126,0.126,0.000,0.000,0.000,NaN
44,TESTxk,0.000,92.850,92.850,2.143,12.148,2.143,12.101,0.126,0.126,0.000,0.000,0.000,NaN
45,TESTxk,0.000,92.850,92.850,2.143,12.148,2.143,12.101,0.126,0.126,0.000,0.000,0.000,NaN
46,TESTxk,0.000,77.877,77.877,2.537,12.085,2.521,11.975,0.126,0.126,0.000,0.000,0.000,NaN
47,TESTxk,0.000,77.877,77.877,2.537,12.085,2.521,11.975,0.126,0.126,0.000,0.000,0.000,NaN
48,TESTxk,0.000,57.782,57.782,2.679,11.928,2.647,11.849,0.126,0.126,0.000,0.000,0.000,NaN
49,TESTxk,0.000,64.074,64.074,2.663,11.707,2.647,11.597,0.126,0.126,0.000,0.000,0.000,NaN
50,TESTxk,0.000,77.956,77.956,2.521,11.423,2.521,11.345,0.126,0.126,0.000,0.000,0.000,NaN
51,TESTxk,0.000,52.581,52.581,2.332,11.329,2.269,11.218,0.126,0.126,0.000,0.000,0.000,NaN
52,TESTxk,0.000,50.456,50.456,2.111,11.140,2.017,11.092,0.126,0.126,0.000,0.000,0.000,NaN
53,TESTxk,0.000,65.171,65.171,1.954,11.045,1.891,10.966,0.126,0.126,0.000,0.000,0.000,NaN
54,TESTxk,0.000,78.431,78.431,1.828,10.840,1.765,10.840,0.126,0.126,0.000,0.000,0.000,NaN
55,TESTxk,0.000,109.514,109.514,1.733,10.572,1.639,10.462,0.126,0.126,0.000,0.000,0.000,NaN
56,TESTxk,0.000,123.514,123.514,1.765,10.242,1.765,10.210,0.126,0.126,0.000,0.000,0.000,NaN
57,TESTxk,0.000,88.560,88.560,2.064,10.257,2.017,10.210,0.126,0.126,0.000,0.000,0.000,NaN
58,TESTxk,0.000,85.275,85.275,2.300,10.257,2.269,10.210,0.126,0.126,0.000,0.000,0.000,NaN
59,TESTxk,0.000,104.921,104.921,2.631,10.163,2.521,10.084,0.126,0.126,0.000,0.000,0.000,NaN
60,TESTxk,0.000,49.736,49.736,2.836,10.100,2.773,10.084,0.126,0.126,0.000,0.000,0.000,NaN
61,TESTxk,0.000,46.451,46.451,2.899,9.958,2.899,9.958,0.126,0.126,0.000,0.000,0.000,NaN
62,TESTxk,0.000,67.109,67.109,2.868,9.816,2.773,9.706,0.126,0.126,0.000,0.000,0.000,NaN
63,TESTxk,0.000,79.343,79.343,2.663,9.659,2.647,9.580,0.126,0.126,0.000,0.000,0.000,NaN
64,TESTxk,0.000,79.905,79.905,2.521,9.548,2.521,9.454,0.126,0.126,0.000,0.000,0.000,NaN
65,TESTxk,0.000,86.178,86.178,2.411,9.454,2.395,9.454,0.126,0.126,0.000,0.000,0.000,NaN
66,TESTxk,0.000,83.690,83.690,2.316,9.202,2.269,9.202,0.126,0.126,0.000,0.000,0.000,NaN
67,TESTxk,0.000,108.019,108.019,2.363,9.060,2.269,8.950,0.126,0.126,0.000,0.000,0.000,NaN
68,TESTxk,0.000,126.572,126.572,2.442,8.839,2.395,8.824,0.126,0.126,0.000,0.000,0.000,NaN
69,TESTxk,0.000,88.074,88.074,2.757,8.839,2.647,8.824,0.126,0.126,0.000,0.000,0.000,NaN
70,TESTxk,0.000,75.669,75.669,2.946,8.950,2.899,8.950,0.126,0.126,0.000,0.000,0.000,NaN
71,TESTxk,0.000,103.576,103.576,3.151,9.028,3.151,8.950,0.126,0.126,0.000,0.000,0.000,NaN
72,TESTxk,0.000,83.051,83.051,3.388,9.060,3.277,8.950,0.126,0.126,0.000,0.000,0.000,NaN
73,TESTxk,0.000,54.438,54.438,3.561,8.981,3.529,8.950,0.126,0.126,0.000,0.000,0.000,NaN
74,TESTxk,0.000,62.102,62.102,3.624,8.839,3.529,8.824,0.126,0.126,0.000,0.000,0.000,NaN
75,TESTxk,0.000,65.063,65.063,3.640,8.682,3.529,8.571,0.126,0.126,0.000,0.000,0.000,NaN
76,TESTxk,0.000,69.111,69.111,3.545,8.414,3.529,8.319,0.126,0.126,0.000,0.000,0.000,NaN
77,TESTxk,0.000,77.468,77.468,3.262,8.225,3.151,8.193,0.126,0.126,0.000,0.000,0.000,NaN
78,TESTxk,0.000,80.766,80.766,3.214,8.067,3.151,8.067,0.126,0.126,0.000,0.000,0.000,NaN
79,TESTxk,0.000,83.479,83.479,3.356,7.862,3.277,7.815,0.126,0.126,0.000,0.000,0.000,NaN
80,TESTxk,0.000,68.810,68.810,3.498,7.705,3.403,7.689,0.126,0.126,0.000,0.000,0.000,NaN
81,TESTxk,0.000,57.505,57.505,3.734,7.705,3.655,7.689,0.126,0.126,0.000,0.000,0.000,NaN
82,TESTxk,0.000,51.854,51.854,4.034,7.673,4.034,7.563,0.126,0.126,0.000,0.000,0.000,NaN
83,TESTxk,0.000,43.558,43.558,4.396,7.673,4.286,7.563,0.126,0.126,0.000,0.000,0.000,NaN
84,TESTxk,0.000,64.241,64.241,4.585,7.421,4.538,7.311,0.126,0.126,0.000,0.000,0.000,NaN
85,TESTxk,0.000,63.993,63.993,4.664,7.169,4.664,7.059,0.126,0.126,0.000,0.000,0.000,NaN
86,TESTxk,0.000,90.162,90.162,4.459,6.886,4.412,6.807,0.126,0.126,0.000,0.000,0.000,NaN
87,TESTxk,0.000,91.947,91.947,4.396,6.854,4.286,6.807,0.126,0.126,0.000,0.000,0.000,NaN
88,TESTxk,0.000,91.245,91.245,4.191,6.649,4.160,6.555,0.126,0.126,0.000,0.000,0.000,NaN
89,TESTxk,0.000,82.076,82.076,4.286,6.429,4.286,6.429,0.126,0.126,0.000,0.000,0.000,NaN
90,TESTxk,0.000,85.850,85.850,4.459,6.413,4.412,6.303,0.126,0.126,0.000,0.000,0.000,NaN
91,TESTxk,0.000,55.822,55.822,4.758,6.444,4.664,6.429,0.126,0.126,0.000,0.000,0.000,NaN
92,TESTxk,0.000,53.678,53.678,4.932,6.602,4.916,6.555,0.126,0.126,0.000,0.000,0.000,NaN
93,TESTxk,0.000,46.125,46.125,5.231,6.728,5.168,6.681,0.126,0.126,0.000,0.000,0.000,NaN
94,TESTxk,0.000,52.454,52.454,5.404,6.728,5.294,6.681,0.126,0.126,0.000,0.000,0.000,NaN
95,TESTxk,0.000,50.155,50.155,5.609,6.602,5.546,6.555,0.126,0.126,0.000,0.000,0.000,NaN
96,TESTxk,0.000,55.556,55.556,5.735,6.413,5.672,6.303,0.126,0.126,0.000,0.000,0.000,NaN
97,TESTxk,0.000,58.581,58.581,5.798,6.145,5.798,6.050,0.126,0.126,0.000,0.000,0.000,NaN
98,TESTxk,0.000,63.602,63.602,5.688,5.924,5.672,5.924,0.126,0.126,0.000,0.000,0.000,NaN
99,TESTxk,0.000,87.963,87.963,5.499,5.798,5.420,5.798,0.126,0.126,0.000,0.000,0.000,NaN
100,TESTxk,0.000,88.222,88.222,5.294,5.672,5.294,5.672,0.126,0.126,0.000,0.000,0.000,NaN
101,TESTxk,0.000,106.248,106.248,5.247,5.483,5.168,5.420,0.126,0.126,0.000,0.000,0.000,NaN
102,TESTxk,0.000,110.741,110.741,5.357,5.231,5.294,5.168,0.126,0.126,0.000,0.000,0.000,NaN
103,TESTxk,0.000,90.192,90.192,5.609,5.247,5.546,5.168,0.126,0.126,0.000,0.000,0.000,NaN
104,TESTxk,0.000,55.181,55.181,5.924,5.420,5.924,5.420,0.126,0.126,0.000,0.000,0.000,NaN
105,TESTxk,0.000,38.687,38.687,6.318,5.499,6.303,5.420,0.126,0.126,0.000,0.000,0.000,NaN
106,TESTxk,0.000,57.787,57.787,6.555,5.483,6.555,5.420,0.126,0.126,0.000,0.000,0.000,NaN
107,TESTxk,0.000,48.215,48.215,6.822,5.389,6.807,5.294,0.126,0.126,0.000,0.000,0.000,NaN
108,TESTxk,0.000,48.211,48.211,6.933,5.200,6.933,5.168,0.126,0.126,0.000,0.000,0.000,NaN
109,TESTxk,0.000,48.081,48.081,7.153,5.074,7.059,5.042,0.126,0.126,0.000,0.000,0.000,NaN
110,TESTxk,0.000,61.044,61.044,7.169,4.932,7.059,4.916,0.126,0.126,0.000,0.000,0.000,NaN
111,TESTxk,0.000,53.685,53.685,7.185,4.806,7.185,4.790,0.126,0.126,0.000,0.000,0.000,NaN
112,TESTxk,0.000,63.157,63.157,7.106,4.617,7.059,4.538,0.126,0.126,0.000,0.000,0.000,NaN
113,TESTxk,0.000,76.433,76.433,6.964,4.286,6.933,4.286,0.126,0.126,0.000,0.000,0.000,NaN
114,TESTxk,0.000,71.433,71.433,6.964,4.002,6.933,3.908,0.126,0.126,0.000,0.000,0.000,NaN
115,TESTxk,0.000,111.354,111.354,6.964,3.703,6.933,3.655,0.126,0.126,0.000,0.000,0.000,NaN
116,TESTxk,0.000,104.718,104.718,7.248,3.718,7.185,3.655,0.126,0.126,0.000,0.000,0.000,NaN
117,TESTxk,0.000,66.910,66.910,7.437,3.923,7.437,3.908,0.126,0.126,0.000,0.000,0.000,NaN
118,TESTxk,0.000,47.748,47.748,7.673,4.081,7.563,4.034,0.126,0.126,0.000,0.000,0.000,NaN
119,TESTxk,0.000,35.444,35.444,8.004,4.097,7.941,4.034,0.126,0.126,0.000,0.000,0.000,NaN
120,TESTxk,0.000,40.741,40.741,8.193,3.971,8.193,3.908,0.126,0.126,0.000,0.000,0.000,NaN
121,TESTxk,0.000,48.845,48.845,8.398,3.671,8.319,3.655,0.126,0.126,0.000,0.000,0.000,NaN
122,TESTxk,0.000,49.683,49.683,8.571,3.514,8.571,3.403,0.126,0.126,0.000,0.000,0.000,NaN
123,TESTxk,0.000,60.171,60.171,8.540,3.466,8.445,3.403,0.126,0.126,0.000,0.000,0.000,NaN
124,TESTxk,0.000,78.005,78.005,8.524,3.246,8.445,3.151,0.126,0.126,0.000,0.000,0.000,NaN
125,TESTxk,0.000,78.005,78.005,8.524,3.246,8.445,3.151,0.126,0.126,0.000,0.000,0.000,NaN
126,TESTxk,0.000,71.056,71.056,8.556,3.009,8.445,2.899,0.126,0.126,0.000,0.000,0.000,NaN
127,TESTxk,0.000,57.426,57.426,8.587,2.757,8.571,2.647,0.126,0.126,0.000,0.000,0.000,NaN
128,TESTxk,0.000,60.789,60.789,8.729,2.537,8.697,2.521,0.126,0.126,0.000,0.000,0.000,NaN
129,TESTxk,0.000,62.928,62.928,8.981,2.411,8.950,2.395,0.126,0.126,0.000,0.000,0.000,NaN
130,TESTxk,0.000,55.174,55.174,9.265,2.584,9.202,2.521,0.126,0.126,0.000,0.000,0.000,NaN
131,TESTxk,0.000,45.977,45.977,9.564,2.710,9.454,2.647,0.126,0.126,0.000,0.000,0.000,NaN
132,TESTxk,0.000,48.731,48.731,9.816,2.584,9.706,2.521,0.126,0.126,0.000,0.000,0.000,NaN
133,TESTxk,0.000,57.185,57.185,10.053,2.348,9.958,2.269,0.126,0.126,0.000,0.000,0.000,NaN
134,TESTxk,0.000,78.741,78.741,10.131,2.127,10.084,2.017,0.126,0.126,0.000,0.000,0.000,NaN
135,TESTxk,0.000,62.558,62.558,10.226,1.922,10.210,1.891,0.126,0.126,0.000,0.000,0.000,NaN
136,TESTxk,0.000,54.238,54.238,10.336,1.670,10.336,1.639,0.126,0.126,0.000,0.000,0.000,NaN
137,TESTxk,0.000,70.183,70.183,10.699,1.717,10.588,1.639,0.126,0.126,0.000,0.000,0.000,NaN
138,TESTxk,0.000,50.859,50.859,10.998,1.780,10.966,1.765,0.126,0.126,0.000,0.000,0.000,NaN
139,TESTxk,0.000,42.407,42.407,11.266,1.780,11.218,1.765,0.126,0.126,0.000,0.000,0.000,NaN
140,TESTxk,0.000,54.905,54.905,11.549,1.623,11.471,1.513,0.126,0.126,0.000,0.000,0.000,NaN
141,TESTxk,0.000,51.049,51.049,11.649,1.429,11.597,1.387,0.126,0.126,0.000,0.000,0.000,NaN
142,TESTxk,0.000,45.356,45.356,11.628,1.176,11.597,1.134,0.126,0.126,0.000,0.000,0.000,NaN
