 ,Label,Area,Min,Max,X,Y,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,ddd-1.png:0443-0391,0.000,109,109,44.334,62.399,44.334,62.291,0.124,0.124,0.000,0.000,0.000,NaN
2,ddd-1.png:0443-0391,0.000,125,125,44.443,62.276,44.334,62.167,0.124,0.124,0.000,0.000,0.000,NaN
3,ddd-1.png:0443-0391,0.000,118,118,44.613,62.152,44.582,62.043,0.124,0.124,0.000,0.000,0.000,NaN
4,ddd-1.png:0443-0391,0.000,101,101,44.799,62.074,44.706,62.043,0.124,0.124,0.000,0.000,0.000,NaN
5,ddd-1.png:0443-0391,0.000,116,116,44.907,62.012,44.830,61.920,0.124,0.124,0.000,0.000,0.000,NaN
6,ddd-1.png:0443-0391,0.000,97,97,45.062,61.920,44.954,61.920,0.124,0.124,0.000,0.000,0.000,NaN
7,ddd-1.png:0443-0391,0.000,118,118,45.139,61.780,45.077,61.672,0.124,0.124,0.000,0.000,0.000,NaN
8,ddd-1.png:0443-0391,0.000,116,116,45.186,61.656,45.077,61.548,0.124,0.124,0.000,0.000,0.000,NaN
9,ddd-1.png:0443-0391,0.000,101,101,45.108,61.517,45.077,61.424,0.124,0.124,0.000,0.000,0.000,NaN
10,ddd-1.png:0443-0391,0.000,101,101,44.938,61.440,44.830,61.424,0.124,0.124,0.000,0.000,0.000,NaN
11,ddd-1.png:0443-0391,0.000,85,85,44.830,61.378,44.830,61.300,0.124,0.124,0.000,0.000,0.000,NaN
12,ddd-1.png:0443-0391,0.000,83,83,44.706,61.378,44.706,61.300,0.124,0.124,0.000,0.000,0.000,NaN
13,ddd-1.png:0443-0391,0.000,88,88,44.551,61.347,44.458,61.300,0.124,0.124,0.000,0.000,0.000,NaN
14,ddd-1.png:0443-0391,0.000,96,96,44.443,61.316,44.334,61.300,0.124,0.124,0.000,0.000,0.000,NaN
15,ddd-1.png:0443-0391,0.000,92,92,44.303,61.223,44.211,61.176,0.124,0.124,0.000,0.000,0.000,NaN
16,ddd-1.png:0443-0391,0.000,98,98,44.195,61.084,44.087,61.053,0.124,0.124,0.000,0.000,0.000,NaN
17,ddd-1.png:0443-0391,0.000,98,98,44.195,61.084,44.087,61.053,0.124,0.124,0.000,0.000,0.000,NaN
18,ddd-1.png:0443-0391,0.000,99,99,44.102,60.991,44.087,60.929,0.124,0.124,0.000,0.000,0.000,NaN
19,ddd-1.png:0443-0391,0.000,99,99,44.102,60.991,44.087,60.929,0.124,0.124,0.000,0.000,0.000,NaN
20,ddd-1.png:0443-0391,0.000,111,111,44.133,60.805,44.087,60.805,0.124,0.124,0.000,0.000,0.000,NaN
21,ddd-1.png:0443-0391,0.000,120,120,44.133,60.712,44.087,60.681,0.124,0.124,0.000,0.000,0.000,NaN
22,ddd-1.png:0443-0391,0.000,119,119,44.241,60.619,44.211,60.557,0.124,0.124,0.000,0.000,0.000,NaN
23,ddd-1.png:0443-0391,0.000,119,119,44.241,60.619,44.211,60.557,0.124,0.124,0.000,0.000,0.000,NaN
24,ddd-1.png:0443-0391,0.000,115,115,44.381,60.526,44.334,60.433,0.124,0.124,0.000,0.000,0.000,NaN
25,ddd-1.png:0443-0391,0.000,84,84,44.598,60.480,44.582,60.433,0.124,0.124,0.000,0.000,0.000,NaN
26,ddd-1.png:0443-0391,0.000,79,79,44.799,60.418,44.706,60.310,0.124,0.124,0.000,0.000,0.000,NaN
27,ddd-1.png:0443-0391,0.000,73,73,44.845,60.294,44.830,60.186,0.124,0.124,0.000,0.000,0.000,NaN
28,ddd-1.png:0443-0391,0.000,76,76,44.861,60.155,44.830,60.062,0.124,0.124,0.000,0.000,0.000,NaN
29,ddd-1.png:0443-0391,0.000,78,78,44.799,60.015,44.706,59.938,0.124,0.124,0.000,0.000,0.000,NaN
30,ddd-1.png:0443-0391,0.000,78,78,44.721,59.938,44.706,59.938,0.124,0.124,0.000,0.000,0.000,NaN
31,ddd-1.png:0443-0391,0.000,76,76,44.613,59.876,44.582,59.814,0.124,0.124,0.000,0.000,0.000,NaN
32,ddd-1.png:0443-0391,0.000,77,77,44.474,59.845,44.458,59.814,0.124,0.124,0.000,0.000,0.000,NaN
33,ddd-1.png:0443-0391,0.000,79,79,44.365,59.783,44.334,59.690,0.124,0.124,0.000,0.000,0.000,NaN
34,ddd-1.png:0443-0391,0.000,93,93,44.257,59.659,44.211,59.567,0.124,0.124,0.000,0.000,0.000,NaN
35,ddd-1.png:0443-0391,0.000,109,109,44.164,59.505,44.087,59.443,0.124,0.124,0.000,0.000,0.000,NaN
36,ddd-1.png:0443-0391,0.000,116,116,44.164,59.381,44.087,59.319,0.124,0.124,0.000,0.000,0.000,NaN
37,ddd-1.png:0443-0391,0.000,118,118,44.226,59.303,44.211,59.195,0.124,0.124,0.000,0.000,0.000,NaN
38,ddd-1.png:0443-0391,0.000,112,112,44.350,59.164,44.334,59.071,0.124,0.124,0.000,0.000,0.000,NaN
39,ddd-1.png:0443-0391,0.000,103,103,44.474,59.164,44.458,59.071,0.124,0.124,0.000,0.000,0.000,NaN
40,ddd-1.png:0443-0391,0.000,92,92,44.628,59.118,44.582,59.071,0.124,0.124,0.000,0.000,0.000,NaN
41,ddd-1.png:0443-0391,0.000,80,80,44.768,59.071,44.706,59.071,0.124,0.124,0.000,0.000,0.000,NaN
42,ddd-1.png:0443-0391,0.000,82,82,44.907,58.932,44.830,58.824,0.124,0.124,0.000,0.000,0.000,NaN
43,ddd-1.png:0443-0391,0.000,79,79,44.861,58.746,44.830,58.700,0.124,0.124,0.000,0.000,0.000,NaN
44,ddd-1.png:0443-0391,0.000,77,77,44.768,58.653,44.706,58.576,0.124,0.124,0.000,0.000,0.000,NaN
45,ddd-1.png:0443-0391,0.000,74,74,44.659,58.545,44.582,58.452,0.124,0.124,0.000,0.000,0.000,NaN
46,ddd-1.png:0443-0391,0.000,70,70,44.505,58.467,44.458,58.452,0.124,0.124,0.000,0.000,0.000,NaN
47,ddd-1.png:0443-0391,0.000,82,82,44.319,58.467,44.211,58.452,0.124,0.124,0.000,0.000,0.000,NaN
48,ddd-1.png:0443-0391,0.000,82,82,44.319,58.467,44.211,58.452,0.124,0.124,0.000,0.000,0.000,NaN
49,ddd-1.png:0443-0391,0.000,82,82,44.226,58.390,44.211,58.328,0.124,0.124,0.000,0.000,0.000,NaN
50,ddd-1.png:0443-0391,0.000,86,86,44.195,58.251,44.087,58.204,0.124,0.124,0.000,0.000,0.000,NaN
51,ddd-1.png:0443-0391,0.000,93,93,44.149,58.173,44.087,58.080,0.124,0.124,0.000,0.000,0.000,NaN
52,ddd-1.png:0443-0391,0.000,93,93,44.149,58.111,44.087,58.080,0.124,0.124,0.000,0.000,0.000,NaN
53,ddd-1.png:0443-0391,0.000,96,96,44.226,57.972,44.211,57.957,0.124,0.124,0.000,0.000,0.000,NaN
54,ddd-1.png:0443-0391,0.000,87,87,44.334,57.848,44.334,57.833,0.124,0.124,0.000,0.000,0.000,NaN
55,ddd-1.png:0443-0391,0.000,100,100,44.443,57.740,44.334,57.709,0.124,0.124,0.000,0.000,0.000,NaN
56,ddd-1.png:0443-0391,0.000,81,81,44.582,57.740,44.582,57.709,0.124,0.124,0.000,0.000,0.000,NaN
57,ddd-1.png:0443-0391,0.000,87,87,44.721,57.724,44.706,57.709,0.124,0.124,0.000,0.000,0.000,NaN
58,ddd-1.png:0443-0391,0.000,91,91,44.830,57.724,44.830,57.709,0.124,0.124,0.000,0.000,0.000,NaN
59,ddd-1.png:0443-0391,0.000,90,90,44.954,57.724,44.954,57.709,0.124,0.124,0.000,0.000,0.000,NaN
60,ddd-1.png:0443-0391,0.000,100,100,45.139,57.678,45.077,57.585,0.124,0.124,0.000,0.000,0.000,NaN
61,ddd-1.png:0443-0391,0.000,100,100,45.139,57.678,45.077,57.585,0.124,0.124,0.000,0.000,0.000,NaN
62,ddd-1.png:0443-0391,0.000,100,100,45.139,57.678,45.077,57.585,0.124,0.124,0.000,0.000,0.000,NaN
63,ddd-1.png:0443-0391,0.000,90,90,45.263,57.570,45.201,57.461,0.124,0.124,0.000,0.000,0.000,NaN
64,ddd-1.png:0443-0391,0.000,90,90,45.263,57.570,45.201,57.461,0.124,0.124,0.000,0.000,0.000,NaN
65,ddd-1.png:0443-0391,0.000,90,90,45.294,57.477,45.201,57.461,0.124,0.124,0.000,0.000,0.000,NaN
66,ddd-1.png:0443-0391,0.000,90,90,45.294,57.477,45.201,57.461,0.124,0.124,0.000,0.000,0.000,NaN
67,ddd-1.png:0443-0391,0.000,89,89,45.263,57.337,45.201,57.337,0.124,0.124,0.000,0.000,0.000,NaN
68,ddd-1.png:0443-0391,0.000,89,89,45.263,57.337,45.201,57.337,0.124,0.124,0.000,0.000,0.000,NaN
69,ddd-1.png:0443-0391,0.000,82,82,45.248,57.167,45.201,57.090,0.124,0.124,0.000,0.000,0.000,NaN
70,ddd-1.png:0443-0391,0.000,82,82,45.248,57.167,45.201,57.090,0.124,0.124,0.000,0.000,0.000,NaN
71,ddd-1.png:0443-0391,0.000,81,81,45.248,57.059,45.201,56.966,0.124,0.124,0.000,0.000,0.000,NaN
72,ddd-1.png:0443-0391,0.000,77,77,45.186,56.950,45.077,56.842,0.124,0.124,0.000,0.000,0.000,NaN
73,ddd-1.png:0443-0391,0.000,77,77,45.077,56.873,45.077,56.842,0.124,0.124,0.000,0.000,0.000,NaN
74,ddd-1.png:0443-0391,0.000,67,67,44.985,56.842,44.954,56.842,0.124,0.124,0.000,0.000,0.000,NaN
75,ddd-1.png:0443-0391,0.000,71,71,44.938,56.827,44.830,56.718,0.124,0.124,0.000,0.000,0.000,NaN
76,ddd-1.png:0443-0391,0.000,71,71,44.892,56.796,44.830,56.718,0.124,0.124,0.000,0.000,0.000,NaN
77,ddd-1.png:0443-0391,0.000,71,71,44.892,56.796,44.830,56.718,0.124,0.124,0.000,0.000,0.000,NaN
78,ddd-1.png:0443-0391,0.000,67,67,44.814,56.734,44.706,56.718,0.124,0.124,0.000,0.000,0.000,NaN
79,ddd-1.png:0443-0391,0.000,77,77,44.752,56.687,44.706,56.594,0.124,0.124,0.000,0.000,0.000,NaN
80,ddd-1.png:0443-0391,0.000,75,75,44.659,56.641,44.582,56.594,0.124,0.124,0.000,0.000,0.000,NaN
81,ddd-1.png:0443-0391,0.000,75,75,44.659,56.641,44.582,56.594,0.124,0.124,0.000,0.000,0.000,NaN
82,ddd-1.png:0443-0391,0.000,85,85,44.582,56.502,44.582,56.471,0.124,0.124,0.000,0.000,0.000,NaN
83,ddd-1.png:0443-0391,0.000,92,92,44.489,56.362,44.458,56.347,0.124,0.124,0.000,0.000,0.000,NaN
84,ddd-1.png:0443-0391,0.000,108,108,44.474,56.176,44.458,56.099,0.124,0.124,0.000,0.000,0.000,NaN
85,ddd-1.png:0443-0391,0.000,111,111,44.489,56.006,44.458,55.975,0.124,0.124,0.000,0.000,0.000,NaN
86,ddd-1.png:0443-0391,0.000,115,115,44.567,55.929,44.458,55.851,0.124,0.124,0.000,0.000,0.000,NaN
87,ddd-1.png:0443-0391,0.000,115,115,44.567,55.929,44.458,55.851,0.124,0.124,0.000,0.000,0.000,NaN
88,ddd-1.png:0443-0391,0.000,95,95,44.737,55.882,44.706,55.851,0.124,0.124,0.000,0.000,0.000,NaN
89,ddd-1.png:0443-0391,0.000,92,92,44.830,55.882,44.830,55.851,0.124,0.124,0.000,0.000,0.000,NaN
90,ddd-1.png:0443-0391,0.000,91,91,45.046,55.867,44.954,55.851,0.124,0.124,0.000,0.000,0.000,NaN
91,ddd-1.png:0443-0391,0.000,82,82,45.310,55.867,45.201,55.851,0.124,0.124,0.000,0.000,0.000,NaN
92,ddd-1.png:0443-0391,0.000,79,79,45.433,55.774,45.325,55.728,0.124,0.124,0.000,0.000,0.000,NaN
93,ddd-1.png:0443-0391,0.000,79,79,45.433,55.774,45.325,55.728,0.124,0.124,0.000,0.000,0.000,NaN
94,ddd-1.png:0443-0391,0.000,74,74,45.480,55.588,45.449,55.480,0.124,0.124,0.000,0.000,0.000,NaN
95,ddd-1.png:0443-0391,0.000,74,74,45.480,55.480,45.449,55.480,0.124,0.124,0.000,0.000,0.000,NaN
96,ddd-1.png:0443-0391,0.000,74,74,45.480,55.480,45.449,55.480,0.124,0.124,0.000,0.000,0.000,NaN
97,ddd-1.png:0443-0391,0.000,74,74,45.480,55.480,45.449,55.480,0.124,0.124,0.000,0.000,0.000,NaN
98,ddd-1.png:0443-0391,0.000,76,76,45.464,55.356,45.449,55.356,0.124,0.124,0.000,0.000,0.000,NaN
99,ddd-1.png:0443-0391,0.000,83,83,45.387,55.294,45.325,55.232,0.124,0.124,0.000,0.000,0.000,NaN
100,ddd-1.png:0443-0391,0.000,83,83,45.341,55.248,45.325,55.232,0.124,0.124,0.000,0.000,0.000,NaN
101,ddd-1.png:0443-0391,0.000,82,82,45.310,55.093,45.201,54.985,0.124,0.124,0.000,0.000,0.000,NaN
102,ddd-1.png:0443-0391,0.000,82,82,45.232,55.077,45.201,54.985,0.124,0.124,0.000,0.000,0.000,NaN
103,ddd-1.png:0443-0391,0.000,86,86,45.139,54.938,45.077,54.861,0.124,0.124,0.000,0.000,0.000,NaN
104,ddd-1.png:0443-0391,0.000,89,89,45.108,54.783,45.077,54.737,0.124,0.124,0.000,0.000,0.000,NaN
105,ddd-1.png:0443-0391,0.000,98,98,45.093,54.644,45.077,54.613,0.124,0.124,0.000,0.000,0.000,NaN
106,ddd-1.png:0443-0391,0.000,105,105,45.232,54.551,45.201,54.489,0.124,0.124,0.000,0.000,0.000,NaN
107,ddd-1.png:0443-0391,0.000,94,94,45.325,54.567,45.325,54.489,0.124,0.124,0.000,0.000,0.000,NaN
108,ddd-1.png:0443-0391,0.000,82,82,45.433,54.613,45.325,54.613,0.124,0.124,0.000,0.000,0.000,NaN
109,ddd-1.png:0443-0391,0.000,87,87,45.573,54.613,45.573,54.613,0.124,0.124,0.000,0.000,0.000,NaN
110,ddd-1.png:0443-0391,0.000,87,87,45.681,54.613,45.573,54.613,0.124,0.124,0.000,0.000,0.000,NaN
111,ddd-1.png:0443-0391,0.000,98,98,45.805,54.613,45.697,54.613,0.124,0.124,0.000,0.000,0.000,NaN
112,ddd-1.png:0443-0391,0.000,108,108,45.960,54.598,45.944,54.489,0.124,0.124,0.000,0.000,0.000,NaN
113,ddd-1.png:0443-0391,0.000,108,108,45.991,54.582,45.944,54.489,0.124,0.124,0.000,0.000,0.000,NaN
114,ddd-1.png:0443-0391,0.000,108,108,46.022,54.567,45.944,54.489,0.124,0.124,0.000,0.000,0.000,NaN
115,ddd-1.png:0443-0391,0.000,92,92,46.099,54.458,46.068,54.365,0.124,0.124,0.000,0.000,0.000,NaN
116,ddd-1.png:0443-0391,0.000,92,92,46.099,54.458,46.068,54.365,0.124,0.124,0.000,0.000,0.000,NaN
