 ,Label,Area,Min,Max,BX,BY,Width,Height,Angle,Circ.,AR,Round,Solidity,Length
1,WT130618_WT4A130618003_ch00-1.jpg:0598-0773,4542.640,7.000,101.000,286.272,197.847,52.086,87.214,0,0.735,1.674,0.597,1.000,0.000
2,WT130618_WT4A130618003_ch00-1.jpg:0486-0773,21.194,8.000,65.333,286.272,196.231,52.086,0.000,0,0.098,0.000,0.000,NaN,52.086
3,WT130618_WT4A130618003_ch00-1.jpg:0599-0841,35.377,8.667,92.667,339.569,198.250,0.000,87.214,-90,0.058,0.000,0.000,NaN,87.214
4,WT130618_WT4A130618003_ch00-1.jpg:0603-0772,5.869,8.000,69.667,304.845,243.472,14.132,0.000,0,0.380,0.000,0.000,NaN,13.930
5,WT130618_WT4A130618003_ch00-1.jpg:0601-0776,10.597,8.333,30.750,313.324,229.744,0.000,25.841,-90,0.203,0.000,0.000,NaN,25.639
6,WT130618_WT4A130618003_ch00-1.jpg:0622-0772,5.869,8.000,39.083,304.845,251.144,14.132,0.000,0,0.380,0.000,0.000,NaN,13.930
7,TESTx:0556-0693,4724.835,255.000,255.000,251.555,182.912,56.529,83.582,0,0.756,1.479,0.676,1.000,0.000
8,TESTx:0556-0693,2564.421,255.000,255.000,251.555,207.139,43.204,59.356,0,0.766,1.374,0.728,1.000,0.000
9,TESTx:0556-0693,2564.421,255.000,255.000,251.555,207.139,43.204,59.356,0,0.766,1.374,0.728,1.000,0.000
10,TESTx:0556-0693,2564.421,255.000,255.000,251.555,207.139,43.204,59.356,0,0.766,1.374,0.728,1.000,0.000
11,TESTx:0556-0693,2564.421,255.000,255.000,251.555,207.139,43.204,59.356,0,0.766,1.374,0.728,1.000,0.000
12,TESTx:0556-0693,3878.669,255.000,255.000,251.555,207.139,52.491,73.892,0,0.763,1.408,0.710,1.000,0.000
13,TESTx:0556-0693,4154.203,255.000,255.000,251.555,207.139,52.491,79.141,0,0.753,1.508,0.663,1.000,0.000
14,TESTx:0556-0693,4479.789,255.000,255.000,251.555,207.139,52.088,86.005,0,0.738,1.651,0.606,1.000,0.000
15,TESTx:0556-0693,4563.917,255.000,255.000,251.555,207.139,52.088,87.620,0,0.735,1.682,0.594,1.000,0.000
16,TESTx:0556-0693,4563.917,255.000,255.000,251.555,207.139,52.088,87.620,0,0.735,1.682,0.594,1.000,0.000
17,TESTx:0349-0318,2354.429,14.000,92.000,114.270,87.620,28.265,106.598,0,0.517,3.609,0.277,0.943,0.000
18,TESTx:0211-0376,1345.062,16.000,91.000,139.304,45.223,25.034,79.948,0,0.513,4.051,0.247,0.956,0.000
19,TESTx:0391-0379,1474.188,15.000,71.000,140.919,119.519,24.631,76.718,0,0.588,3.104,0.322,0.970,0.000
20,TESTx:0382-0431,1807.926,12.000,91.000,161.512,103.771,25.438,100.945,0,0.440,4.753,0.210,0.914,0.000
21,TESTx:0224-0417,1201.915,16.000,90.000,157.070,49.665,22.612,81.967,0,0.464,4.627,0.216,0.949,0.000
22,TESTx:0350-0486,1861.728,16.000,91.000,183.316,89.235,25.842,104.579,0,0.433,4.946,0.202,0.922,0.000
23,TESTx:0529-0329,1378.321,13.000,89.000,120.326,174.836,25.034,77.929,0,0.532,3.355,0.298,0.913,0.000
24,TESTx:0575-0454,1297.944,13.000,87.000,172.818,187.757,21.400,88.831,0,0.444,4.832,0.207,0.916,0.000
25,TESTx:0580-0374,1649.779,14.000,89.000,137.285,186.950,27.457,94.888,0,0.445,4.246,0.236,0.864,0.000
26,TESTx:0584-0416,970.727,12.000,79.000,159.493,203.101,17.363,65.816,0,0.538,4.026,0.248,0.981,0.000
27,TESTx:0556-0693,4563.917,255.000,255.000,251.555,207.139,52.088,87.620,0,0.735,1.682,0.594,1.000,0.000
28,TESTx:A,2354.429,14.000,92.000,114.270,87.620,28.265,106.598,0,0.517,3.609,0.277,0.943,0.000
29,TESTx:B,1345.062,16.000,91.000,139.304,45.223,25.034,79.948,0,0.513,4.051,0.247,0.956,0.000
30,TESTx:C,1474.188,15.000,71.000,140.919,119.519,24.631,76.718,0,0.588,3.104,0.322,0.970,0.000
31,TESTx:D,1807.926,12.000,91.000,161.512,103.771,25.438,100.945,0,0.440,4.753,0.210,0.914,0.000
32,TESTx:E,1201.915,16.000,90.000,157.070,49.665,22.612,81.967,0,0.464,4.627,0.216,0.949,0.000
33,TESTx:F,1861.728,16.000,91.000,183.316,89.235,25.842,104.579,0,0.433,4.946,0.202,0.922,0.000
34,TESTx:G,1378.321,13.000,89.000,120.326,174.836,25.034,77.929,0,0.532,3.355,0.298,0.913,0.000
35,TESTx:H,1297.944,13.000,87.000,172.818,187.757,21.400,88.831,0,0.444,4.832,0.207,0.916,0.000
36,TESTx:I,1649.779,14.000,89.000,137.285,186.950,27.457,94.888,0,0.445,4.246,0.236,0.864,0.000
37,TESTx:J,970.727,12.000,79.000,159.493,203.101,17.363,65.816,0,0.538,4.026,0.248,0.981,0.000
38,TESTx:0405-0524,96.844,17.667,66.667,211.580,44.012,0.000,239.441,-90,0.021,0.000,0.000,NaN,239.441
39,TESTx,96.844,17.667,66.667,211.580,44.012,0.000,239.441,-90,0.021,0.000,0.000,NaN,239.441
40,TESTx:0698-0397,39.618,14.333,75.667,111.443,281.838,97.715,0.000,0,0.052,0.000,0.000,NaN,97.715
